iops,flops,cyclesArray,cyclesStruct,BOUNDARY_CONDITION,DIRECTION_SIZE,NX,NY,NZ,TIMESTEPS,
321380,298600,337186,350288,3,27,2,2,2,20,
2.2685e+06,1.71692e+06,2.17128e+06,2.27562e+06,3,27,4,4,4,20,
1.69383e+07,1.10504e+07,1.62939e+07,1.65553e+07,3,27,8,8,8,20,
1.30668e+08,7.76654e+07,1.50706e+08,1.51825e+08,3,27,16,16,16,20,
1.02599e+09,5.78376e+08,4.18784e+09,4.25869e+09,3,27,32,32,32,20,
297600,134360,160811,159243,2,27,2,2,2,20,
2.2944e+06,1.0602e+06,1.37885e+06,1.3916e+06,2,27,4,4,4,20,
1.80096e+07,8.42372e+06,1.28476e+07,1.23068e+07,2,27,8,8,8,20,
1.42694e+08,6.71591e+07,1.26198e+08,1.32224e+08,2,27,16,16,16,20,
1.13603e+09,5.36351e+08,4.21065e+09,4.2719e+09,2,27,32,32,32,20,
245760,130760,190255,190806,1,27,2,2,2,20,
1.96608e+06,1.0458e+06,1.46456e+06,1.49671e+06,1,27,4,4,4,20,
1.57286e+07,8.36612e+06,1.26169e+07,1.27403e+07,1,27,8,8,8,20,
1.25829e+08,6.69287e+07,1.17708e+08,1.1874e+08,1,27,16,16,16,20,
1.00663e+09,5.35429e+08,3.92639e+09,3.96991e+09,1,27,32,32,32,20,
138240,73160,108268,112453,1,15,2,2,2,20,
1.10592e+06,585000,852389,883006,1,15,4,4,4,20,
8.84736e+06,4.67972e+06,7.37131e+06,7.48544e+06,1,15,8,8,8,20,
7.07789e+07,3.74375e+07,7.1401e+07,7.241e+07,1,15,16,16,16,20,
5.66231e+08,2.995e+08,1.92393e+09,1.97414e+09,1,15,32,32,32,20,
167040,75160,94957,98861.8,2,15,2,2,2,20,
1.28832e+06,593000,812981,830737,2,15,4,4,4,20,
1.01146e+07,4.71172e+06,6.88691e+06,6.90329e+06,2,15,8,8,8,20,
8.01485e+07,3.75655e+07,7.43724e+07,7.42194e+07,2,15,16,16,16,20,
6.38116e+08,3.00012e+08,1.98877e+09,2.04052e+09,2,15,32,32,32,20,
180260,166440,192200,200146,3,15,2,2,2,20,
1.27394e+06,957880,1.27132e+06,1.32618e+06,3,15,4,4,4,20,
9.51938e+06,6.171e+06,9.21316e+06,9.64285e+06,3,15,8,8,8,20,
7.34669e+07,4.34024e+07,8.17881e+07,8.41168e+07,3,15,16,16,16,20,
5.76983e+08,3.23359e+08,2.04996e+09,2.09911e+09,3,15,32,32,32,20,
