iops,flops,bytes_read,bytes_write,function,cycles,DIRECTION_SIZE,NX,NY,NZ,TIMESTEPS,bytes
277143552,184320,113246856,56623104,Stream Couette Baseline,5.6955e+08,27,64,64,64,1,
277143552,184320,113246856,56623104,Stream Couette - Structs Bl,5.71439e+08,27,64,64,64,1,
277143552,184320,113246856,56623104,Stream Couette - Structs Code Motion,5.33846e+08,27,64,64,64,1,
49217193,36859,56623752,56623104,Stream Couette - Structs Loop Structure,4.42808e+07,27,64,64,64,1,
277143552,184320,113246856,56623104,Stream Couette - Structs Memcpy 2,1.13863e+07,27,64,64,64,1,
2212724736,737280,905970312,452984832,Stream Couette Baseline,5.37917e+09,27,128,128,128,1,
2212724736,737280,905970312,452984832,Stream Couette - Structs Bl,5.42837e+09,27,128,128,128,1,
2212724736,737280,905970312,452984832,Stream Couette - Structs Code Motion,5.37208e+09,27,128,128,128,1,
395041833,147451,452985480,452984832,Stream Couette - Structs Loop Structure,3.22331e+08,27,128,128,128,1,
2212724736,737280,905970312,452984832,Stream Couette - Structs Memcpy 2,1.07973e+08,27,128,128,128,1,
