iops,flops,bytes_read,bytes_write,function,cycles,DIRECTION_SIZE,NX,NY,NZ,TIMESTEPS,bytes
1088,312,868,256,Momentum Baseline,6938.78,9,2,2,2,20,
1088,312,868,256,Momentum - Structs Bl,6852.93,9,2,2,2,20,
1088,312,868,256,Momentum - Arrays Bl,8543.02,9,2,2,2,20,
1656,2090,1012,576,Collision Baseline,25513.1,9,2,2,2,20,
1656,2090,1012,576,Collision - Structs Bl,25646.4,9,2,2,2,20,
1656,2090,1012,576,Collision - Arrays Bl,24563,9,2,2,2,20,
2304,0,1260,576,Stream Periodic Baseline,41093.3,9,2,2,2,20,
2304,0,1260,576,Stream Periodic - Structs Bl,41065.5,9,2,2,2,20,
2304,0,1260,576,Stream Periodic - Arrays Bl,42941.1,9,2,2,2,20,
3168,60,1368,576,Stream Couette Baseline,31603.7,9,2,2,2,20,
3168,60,1368,576,Stream Couette - Structs Bl,31887,9,2,2,2,20,
3168,60,1368,576,Stream Couette - Arrays Bl,33061.9,9,2,2,2,20,
3565,2800,1588,576,Stream Lees Edwards Baseline,93102.3,9,2,2,2,20,
3565,2800,1588,576,Stream Lees Edwards - Structs Bl,95233.2,9,2,2,2,20,
3565,2800,1588,576,Stream Lees Edwards - Arrays Bl,91231.5,9,2,2,2,20,
6309,5202,3468,1408,LBM Baseline,125836,9,2,2,2,20,
6309,5202,3468,1408,LBM - Structs Bl,129966,9,2,2,2,20,
6309,5202,3468,1408,LBM - Arrays Bl,122770,9,2,2,2,20,
1760,504,1276,256,Momentum Baseline,10273.5,15,2,2,2,20,
1760,504,1276,256,Momentum - Structs Bl,10322.2,15,2,2,2,20,
1760,504,1276,256,Momentum - Arrays Bl,10231,15,2,2,2,20,
2760,3482,1516,960,Collision Baseline,38030.9,15,2,2,2,20,
2760,3482,1516,960,Collision - Structs Bl,38586.5,15,2,2,2,20,
2760,3482,1516,960,Collision - Arrays Bl,33500.8,15,2,2,2,20,
3840,0,2100,960,Stream Periodic Baseline,67636.5,15,2,2,2,20,
3840,0,2100,960,Stream Periodic - Structs Bl,67926.7,15,2,2,2,20,
3840,0,2100,960,Stream Periodic - Arrays Bl,70616.4,15,2,2,2,20,
5280,100,2280,960,Stream Couette Baseline,51819.9,15,2,2,2,20,
5280,100,2280,960,Stream Couette - Structs Bl,51789.1,15,2,2,2,20,
5280,100,2280,960,Stream Couette - Arrays Bl,52716.5,15,2,2,2,20,
5941,4664,2476,960,Stream Lees Edwards Baseline,152364,15,2,2,2,20,
5941,4664,2476,960,Stream Lees Edwards - Structs Bl,153252,15,2,2,2,20,
5941,4664,2476,960,Stream Lees Edwards - Arrays Bl,147032,15,2,2,2,20,
10461,8650,5268,2176,LBM Baseline,204922,15,2,2,2,20,
10461,8650,5268,2176,LBM - Structs Bl,204863,15,2,2,2,20,
10461,8650,5268,2176,LBM - Arrays Bl,195288,15,2,2,2,20,
3104,888,2092,256,Momentum Baseline,19197.1,27,2,2,2,20,
3104,888,2092,256,Momentum - Structs Bl,19139.7,27,2,2,2,20,
3104,888,2092,256,Momentum - Arrays Bl,18957,27,2,2,2,20,
4968,6266,2524,1728,Collision Baseline,48903.2,27,2,2,2,20,
4968,6266,2524,1728,Collision - Structs Bl,48533.4,27,2,2,2,20,
4968,6266,2524,1728,Collision - Arrays Bl,46709,27,2,2,2,20,
6912,0,3780,1728,Stream Periodic Baseline,120322,27,2,2,2,20,
6912,0,3780,1728,Stream Periodic - Structs Bl,120285,27,2,2,2,20,
6912,0,3780,1728,Stream Periodic - Arrays Bl,141515,27,2,2,2,20,
9504,180,4104,1728,Stream Couette Baseline,112409,27,2,2,2,20,
9504,180,4104,1728,Stream Couette - Structs Bl,138501,27,2,2,2,20,
9504,180,4104,1728,Stream Couette - Arrays Bl,95171.3,27,2,2,2,20,
10693,8392,4252,1728,Stream Lees Edwards Baseline,278467,27,2,2,2,20,
10693,8392,4252,1728,Stream Lees Edwards - Structs Bl,298418,27,2,2,2,20,
10693,8392,4252,1728,Stream Lees Edwards - Arrays Bl,285652,27,2,2,2,20,
18765,15546,8868,3712,LBM Baseline,395348,27,2,2,2,20,
18765,15546,8868,3712,LBM - Structs Bl,347720,27,2,2,2,20,
18765,15546,8868,3712,LBM - Arrays Bl,379690,27,2,2,2,20,
8704,2496,6692,2048,Momentum Baseline,62672.3,9,4,4,4,20,
8704,2496,6692,2048,Momentum - Structs Bl,57250.4,9,4,4,4,20,
8704,2496,6692,2048,Momentum - Arrays Bl,56282.3,9,4,4,4,20,
13248,16706,6836,4608,Collision Baseline,266840,9,4,4,4,20,
13248,16706,6836,4608,Collision - Structs Bl,212178,9,4,4,4,20,
13248,16706,6836,4608,Collision - Arrays Bl,184883,9,4,4,4,20,
18432,0,9324,4608,Stream Periodic Baseline,355378,9,4,4,4,20,
18432,0,9324,4608,Stream Periodic - Structs Bl,445082,9,4,4,4,20,
18432,0,9324,4608,Stream Periodic - Arrays Bl,364479,9,4,4,4,20,
23904,240,9432,4608,Stream Couette Baseline,308877,9,4,4,4,20,
23904,240,9432,4608,Stream Couette - Structs Bl,372407,9,4,4,4,20,
23904,240,9432,4608,Stream Couette - Arrays Bl,317383,9,4,4,4,20,
23473,11188,11444,4608,Stream Lees Edwards Baseline,843924,9,4,4,4,20,
23473,11188,11444,4608,Stream Lees Edwards - Structs Bl,601582,9,4,4,4,20,
23473,11188,11444,4608,Stream Lees Edwards - Arrays Bl,548600,9,4,4,4,20,
45425,30390,24972,11264,LBM Baseline,818241,9,4,4,4,20,
45425,30390,24972,11264,LBM - Structs Bl,823933,9,4,4,4,20,
45425,30390,24972,11264,LBM - Arrays Bl,824881,9,4,4,4,20,
14080,4032,9788,2048,Momentum Baseline,78731.9,15,4,4,4,20,
14080,4032,9788,2048,Momentum - Structs Bl,78125.9,15,4,4,4,20,
14080,4032,9788,2048,Momentum - Arrays Bl,76524.1,15,4,4,4,20,
22080,27842,10028,7680,Collision Baseline,285360,15,4,4,4,20,
22080,27842,10028,7680,Collision - Structs Bl,285386,15,4,4,4,20,
22080,27842,10028,7680,Collision - Arrays Bl,249487,15,4,4,4,20,
30720,0,15540,7680,Stream Periodic Baseline,537169,15,4,4,4,20,
30720,0,15540,7680,Stream Periodic - Structs Bl,535776,15,4,4,4,20,
30720,0,15540,7680,Stream Periodic - Arrays Bl,554289,15,4,4,4,20,
39840,400,15720,7680,Stream Couette Baseline,482251,15,4,4,4,20,
39840,400,15720,7680,Stream Couette - Structs Bl,481097,15,4,4,4,20,
39840,400,15720,7680,Stream Couette - Arrays Bl,480745,15,4,4,4,20,
39121,18644,17708,7680,Stream Lees Edwards Baseline,951873,15,4,4,4,20,
39121,18644,17708,7680,Stream Lees Edwards - Structs Bl,949744,15,4,4,4,20,
39121,18644,17708,7680,Stream Lees Edwards - Arrays Bl,884595,15,4,4,4,20,
75281,50518,37524,17408,LBM Baseline,1.33715e+06,15,4,4,4,20,
75281,50518,37524,17408,LBM - Structs Bl,1.32747e+06,15,4,4,4,20,
75281,50518,37524,17408,LBM - Arrays Bl,1.48816e+06,15,4,4,4,20,
24832,7104,15980,2048,Momentum Baseline,153915,27,4,4,4,20,
24832,7104,15980,2048,Momentum - Structs Bl,166016,27,4,4,4,20,
24832,7104,15980,2048,Momentum - Arrays Bl,155126,27,4,4,4,20,
39744,50114,16412,13824,Collision Baseline,374494,27,4,4,4,20,
39744,50114,16412,13824,Collision - Structs Bl,381420,27,4,4,4,20,
39744,50114,16412,13824,Collision - Arrays Bl,548295,27,4,4,4,20,
55296,0,27972,13824,Stream Periodic Baseline,1.0189e+06,27,4,4,4,20,
55296,0,27972,13824,Stream Periodic - Structs Bl,1.0911e+06,27,4,4,4,20,
55296,0,27972,13824,Stream Periodic - Arrays Bl,1.17562e+06,27,4,4,4,20,
71712,720,28296,13824,Stream Couette Baseline,1.10864e+06,27,4,4,4,20,
71712,720,28296,13824,Stream Couette - Structs Bl,862029,27,4,4,4,20,
71712,720,28296,13824,Stream Couette - Arrays Bl,968573,27,4,4,4,20,
70417,33556,30236,13824,Stream Lees Edwards Baseline,1.82824e+06,27,4,4,4,20,
70417,33556,30236,13824,Stream Lees Edwards - Structs Bl,1.84819e+06,27,4,4,4,20,
70417,33556,30236,13824,Stream Lees Edwards - Arrays Bl,2.28218e+06,27,4,4,4,20,
134993,90774,62628,29696,LBM Baseline,2.21962e+06,27,4,4,4,20,
134993,90774,62628,29696,LBM - Structs Bl,2.20537e+06,27,4,4,4,20,
134993,90774,62628,29696,LBM - Arrays Bl,2.13147e+06,27,4,4,4,20,
69632,19968,53284,16384,Momentum Baseline,469829,9,8,8,8,20,
69632,19968,53284,16384,Momentum - Structs Bl,818814,9,8,8,8,20,
69632,19968,53284,16384,Momentum - Arrays Bl,419383,9,8,8,8,20,
105984,133634,53428,36864,Collision Baseline,1.57123e+06,9,8,8,8,20,
105984,133634,53428,36864,Collision - Structs Bl,1.84166e+06,9,8,8,8,20,
105984,133634,53428,36864,Collision - Arrays Bl,1.48048e+06,9,8,8,8,20,
147456,0,73836,36864,Stream Periodic Baseline,3.04789e+06,9,8,8,8,20,
147456,0,73836,36864,Stream Periodic - Structs Bl,3.03476e+06,9,8,8,8,20,
147456,0,73836,36864,Stream Periodic - Arrays Bl,3.02977e+06,9,8,8,8,20,
185472,960,73944,36864,Stream Couette Baseline,2.6275e+06,9,8,8,8,20,
